2023-11-12 21:19:12.208 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-11-12 21:19:12.569 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4bf6bc2d
2023-11-12 21:19:12.573 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-11-12 21:19:12.629 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.MenuMapperTest]: MenuMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 21:19:12.631 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.MenuMapperTest
2023-11-12 21:19:12.864 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.PermMapperTest]: PermMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 21:19:12.865 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.PermMapperTest
2023-11-12 21:19:12.911 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.RoleMapperTest]: RoleMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 21:19:12.912 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.RoleMapperTest
2023-11-12 21:19:12.936 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 21:19:12.937 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.UserMapperTest
2023-11-12 21:19:13.075 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.service.MenuServiceTest]: MenuServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 21:19:13.080 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.service.MenuServiceTest
